time	V(ina)	V(out_y)	V(sel)	V(selb)
3.193805559778006e-08	5.000000e+00	5.210969e+00	0.000000e+00	5.000000e+00
3.197711809778006e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
3.201618059778006e-08	5.000000e+00	5.210969e+00	0.000000e+00	5.000000e+00
3.205524309778006e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
3.209430559778006e-08	5.000000e+00	5.210969e+00	0.000000e+00	5.000000e+00
3.213336809778006e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
3.217243059778006e-08	5.000000e+00	5.210968e+00	0.000000e+00	5.000000e+00
3.221149309778006e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
3.225055559778006e-08	5.000000e+00	5.210968e+00	0.000000e+00	5.000000e+00
3.228961809778006e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
3.232868059778006e-08	5.000000e+00	5.210968e+00	0.000000e+00	5.000000e+00
3.236774309778006e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
3.240680559778006e-08	5.000000e+00	5.210968e+00	0.000000e+00	5.000000e+00
3.244586809778006e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
3.248493059778006e-08	5.000000e+00	5.210968e+00	0.000000e+00	5.000000e+00
3.252399309778006e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
3.256305559778006e-08	5.000000e+00	5.210968e+00	0.000000e+00	5.000000e+00
3.260211809778005e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
3.264118059778005e-08	5.000000e+00	5.210968e+00	0.000000e+00	5.000000e+00
3.268024309778005e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
3.271930559778005e-08	5.000000e+00	5.210968e+00	0.000000e+00	5.000000e+00
3.275836809778005e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
3.279743059778005e-08	5.000000e+00	5.210968e+00	0.000000e+00	5.000000e+00
3.283649309778005e-08	5.000000e+00	5.210966e+00	0.000000e+00	5.000000e+00
3.287555559778005e-08	5.000000e+00	5.210968e+00	0.000000e+00	5.000000e+00
3.291461809778005e-08	5.000000e+00	5.210966e+00	0.000000e+00	5.000000e+00
3.295368059778005e-08	5.000000e+00	5.210968e+00	0.000000e+00	5.000000e+00
