time	V(vdd)*Ix(xinv_20_1@0:vdd)
2.085909033853220e-08	5.567111e-06
2.089815283853220e-08	-5.660244e-06
2.093721533853220e-08	5.761904e-06
2.097627783853220e-08	-5.850379e-06
2.101534033853219e-08	5.946928e-06
2.105440283853219e-08	-6.030925e-06
2.109346533853219e-08	6.122554e-06
2.110000000000000e-08	-6.591176e-06
2.110065346614678e-08	-4.909484e-04
2.110196039844035e-08	-7.761694e-04
2.110457426302747e-08	-6.549944e-04
2.110980199220172e-08	-7.983296e-04
2.112025745055021e-08	-7.627608e-04
2.113643894579843e-08	-7.703299e-04
2.115799085099736e-08	-4.558921e-04
2.118441532311096e-08	-4.389669e-04
2.120000000000000e-08	-8.778933e-05
2.120155846768891e-08	2.675437e-04
2.120467540306672e-08	3.107369e-04
2.121090927382234e-08	2.460155e-04
2.122337701533357e-08	2.449785e-04
2.124831249835605e-08	1.967231e-04
2.127873875058430e-08	1.941864e-04
2.131780125058430e-08	1.531879e-04
2.135686375058430e-08	1.489391e-04
2.139592625058430e-08	9.682376e-05
2.143498875058430e-08	1.036067e-04
2.146508079677761e-08	7.443783e-05
2.149840843708205e-08	9.459509e-05
2.153747093708205e-08	4.186521e-05
2.157578226462656e-08	5.952322e-05
2.161484476462656e-08	9.133481e-06
2.165390726462656e-08	3.482848e-05
2.169296976462656e-08	-6.262820e-06
2.173203226462656e-08	2.409061e-05
2.177109476462655e-08	-1.236993e-05
2.181015726462655e-08	1.943908e-05
2.184921976462655e-08	-1.458345e-05
2.188828226462655e-08	1.729755e-05
2.192734476462655e-08	-1.522013e-05
2.196640726462655e-08	1.618526e-05
2.200546976462655e-08	-1.522793e-05
2.204453226462655e-08	1.549467e-05
2.208359476462655e-08	-1.499120e-05
2.212265726462655e-08	1.498136e-05
2.216171976462655e-08	-1.466403e-05
2.220078226462655e-08	1.454690e-05
2.223984476462655e-08	-1.430805e-05
2.227890726462655e-08	1.415147e-05
2.231796976462655e-08	-1.394775e-05
2.235703226462655e-08	1.377888e-05
2.239609476462655e-08	-1.359272e-05
2.243515726462655e-08	1.342221e-05
2.247421976462655e-08	-1.324651e-05
2.251328226462655e-08	1.307878e-05
2.255234476462655e-08	-1.291043e-05
2.259140726462655e-08	1.274691e-05
2.263046976462655e-08	-1.258463e-05
2.266953226462655e-08	1.242587e-05
2.270859476462655e-08	-1.226904e-05
2.274765726462655e-08	1.211515e-05
2.278671976462655e-08	-1.196338e-05
2.282578226462654e-08	1.181436e-05
2.286484476462654e-08	-1.166742e-05
2.290390726462654e-08	1.152305e-05
2.294296976462654e-08	-1.138080e-05
2.298203226462654e-08	1.124092e-05
2.302109476462654e-08	-1.110323e-05
2.306015726462654e-08	1.096773e-05
2.309921976462654e-08	-1.083433e-05
2.313828226462654e-08	1.070310e-05
2.317734476462654e-08	-1.057386e-05
2.321640726462654e-08	1.044674e-05
2.325546976462654e-08	-1.032152e-05
2.329453226462654e-08	1.019836e-05
2.333359476462654e-08	-1.007702e-05
2.337265726462654e-08	9.957686e-06
2.341171976462654e-08	-9.840105e-06
2.345078226462654e-08	9.724456e-06
2.348984476462654e-08	-9.610499e-06
2.352890726462654e-08	9.498410e-06
2.356796976462654e-08	-9.387952e-06
2.360703226462654e-08	9.279302e-06
2.364609476462654e-08	-9.172222e-06
2.368515726462654e-08	9.066892e-06
2.372421976462654e-08	-8.963074e-06
2.376328226462654e-08	8.860948e-06
2.380234476462654e-08	-8.760279e-06
2.384140726462653e-08	8.661248e-06
2.388046976462653e-08	-8.563620e-06
2.391953226462653e-08	8.467578e-06
2.395859476462653e-08	-8.372886e-06
2.399765726462653e-08	8.279728e-06
2.403671976462653e-08	-8.187872e-06
2.407578226462653e-08	8.097501e-06
