time	V(vout)	Ix(xinv_20_1@0:y_c17530)
1.430382768909387e-08	4.872376e-05	-2.260473e-06
1.434289018909387e-08	-4.354135e-05	2.228040e-06
1.438195268909387e-08	4.725291e-05	-2.191424e-06
1.442101518909387e-08	-4.222730e-05	2.159970e-06
1.446007768909387e-08	4.582821e-05	-2.124459e-06
1.449914018909387e-08	-4.095450e-05	2.093955e-06
1.453820268909387e-08	4.444820e-05	-2.059516e-06
1.457726518909387e-08	-3.972165e-05	2.029933e-06
1.461632768909387e-08	4.311147e-05	-1.996534e-06
1.465539018909387e-08	-3.852749e-05	1.967843e-06
1.469445268909387e-08	4.181666e-05	-1.935452e-06
1.473351518909387e-08	-3.737081e-05	1.907627e-06
1.477257768909387e-08	4.056247e-05	-1.876212e-06
1.481164018909387e-08	-3.625043e-05	1.849227e-06
1.485070268909387e-08	3.934760e-05	-1.818759e-06
1.488976518909387e-08	-3.516519e-05	1.792589e-06
1.492882768909387e-08	3.817083e-05	-1.763039e-06
1.496789018909387e-08	-3.411401e-05	1.737657e-06
1.500695268909387e-08	3.703095e-05	-1.708998e-06
1.504601518909387e-08	-3.309580e-05	1.684382e-06
1.508507768909387e-08	3.592681e-05	-1.656585e-06
1.512414018909387e-08	-3.210953e-05	1.632711e-06
1.516320268909387e-08	3.485727e-05	-1.605752e-06
1.520226518909387e-08	-3.115418e-05	1.582596e-06
1.524132768909387e-08	3.382126e-05	-1.556448e-06
1.528039018909387e-08	-3.022880e-05	1.533990e-06
1.531945268909387e-08	3.281772e-05	-1.508628e-06
1.535851518909386e-08	-2.933242e-05	1.486847e-06
1.539757768909386e-08	3.184563e-05	-1.462247e-06
1.543664018909386e-08	-2.846415e-05	1.441121e-06
1.547570268909386e-08	3.090398e-05	-1.417260e-06
1.551476518909386e-08	-2.762309e-05	1.396770e-06
1.555382768909386e-08	2.999184e-05	-1.373626e-06
1.559289018909386e-08	-2.680839e-05	1.353751e-06
1.563195268909386e-08	2.910827e-05	-1.331301e-06
1.567101518909386e-08	-2.601921e-05	1.312024e-06
1.571007768909386e-08	2.825237e-05	-1.290247e-06
1.574914018909386e-08	-2.525475e-05	1.271549e-06
1.578820268909386e-08	2.742326e-05	-1.250425e-06
1.582726518909386e-08	-2.451424e-05	1.232288e-06
1.586632768909386e-08	2.662012e-05	-1.211796e-06
1.590539018909386e-08	-2.379692e-05	1.194204e-06
1.594445268909386e-08	2.584211e-05	-1.174325e-06
1.598351518909386e-08	-2.310205e-05	1.157260e-06
1.602257768909386e-08	2.508845e-05	-1.137975e-06
1.605000000000000e-08	-2.222055e-05	1.114016e-06
1.605274223109061e-08	-5.686416e-03	6.760284e-05
1.605822669327184e-08	-1.672829e-02	7.114610e-05
1.606919561763430e-08	-3.638414e-02	5.552683e-05
1.608737197775420e-08	-1.531889e-02	-1.297094e-04
1.610968269289666e-08	1.452287e-01	-3.679552e-04
1.613289839257329e-08	5.065947e-01	-7.174293e-04
1.615000000000000e-08	9.001322e-01	-9.741291e-04
1.615171016074267e-08	9.471273e-01	-1.035969e-03
1.615513048222802e-08	1.040925e+00	-1.054206e-03
1.616197112519870e-08	1.224513e+00	-1.031361e-03
1.617492406123511e-08	1.559295e+00	-1.027272e-03
1.620082993330794e-08	2.186280e+00	-9.608874e-04
1.623989243330794e-08	3.006084e+00	-8.351162e-04
1.627895493330794e-08	3.634766e+00	-6.191722e-04
1.631801743330794e-08	4.016630e+00	-5.212842e-04
1.634536496059726e-08	4.195672e+00	-4.052699e-04
1.637170387014402e-08	4.379814e+00	-3.146492e-04
1.639972254103418e-08	4.571018e+00	-1.945443e-04
1.643284000538409e-08	4.735824e+00	-1.392391e-04
1.646824190510448e-08	4.844975e+00	-6.509854e-05
1.650730440510448e-08	4.915021e+00	-5.222350e-05
1.654636690510448e-08	4.953053e+00	-1.330181e-05
1.658542940510448e-08	4.974512e+00	-2.216205e-05
1.662449190510448e-08	4.985744e+00	2.052000e-06
1.666355440510448e-08	4.992461e+00	-1.248183e-05
1.670261690510448e-08	4.995595e+00	6.168957e-06
1.674167940510448e-08	4.997852e+00	-9.054606e-06
1.678074190510448e-08	4.998540e+00	6.887919e-06
1.681980440510448e-08	4.999444e+00	-7.546000e-06
1.685886690510448e-08	4.999430e+00	6.635225e-06
1.689792940510448e-08	4.999936e+00	-6.615602e-06
1.693699190510448e-08	4.999710e+00	6.105680e-06
1.697605440510448e-08	5.000086e+00	-5.888175e-06
1.701511690510448e-08	4.999797e+00	5.513103e-06
1.705417940510447e-08	5.000128e+00	-5.245747e-06
1.709324190510447e-08	4.999826e+00	4.921241e-06
1.713230440510447e-08	5.000138e+00	-4.648126e-06
1.717136690510447e-08	4.999838e+00	4.347906e-06
1.721042940510447e-08	5.000139e+00	-4.081722e-06
1.724949190510447e-08	4.999845e+00	3.797534e-06
1.728855440510447e-08	5.000136e+00	-3.541643e-06
1.732761690510447e-08	4.999849e+00	3.270624e-06
1.736667940510447e-08	5.000133e+00	-3.025635e-06
1.740574190510447e-08	4.999854e+00	2.766546e-06
1.744480440510447e-08	5.000129e+00	-2.532269e-06
1.748386690510447e-08	4.999857e+00	2.284375e-06
1.752292940510447e-08	5.000126e+00	-2.060402e-06
1.756199190510447e-08	4.999862e+00	1.823136e-06
1.760105440510447e-08	5.000122e+00	-1.609013e-06
1.764011690510447e-08	4.999866e+00	1.381876e-06
1.767917940510447e-08	5.000119e+00	-1.177150e-06
1.771824190510447e-08	4.999869e+00	9.596816e-07
1.775730440510447e-08	5.000115e+00	-7.639185e-07
1.779636690510447e-08	4.999873e+00	5.556830e-07
1.783542940510447e-08	5.000112e+00	-3.684692e-07
1.787449190510447e-08	4.999876e+00	1.690548e-07
1.791355440510447e-08	5.000109e+00	1.000247e-08
1.795261690510447e-08	4.999880e+00	-2.009868e-07
1.799167940510447e-08	5.000106e+00	3.722604e-07
1.803074190510447e-08	4.999884e+00	-5.551863e-07
1.806980440510446e-08	5.000103e+00	7.190301e-07
1.810886690510446e-08	4.999887e+00	-8.942505e-07
1.814792940510446e-08	5.000100e+00	1.051000e-06
1.818699190510446e-08	4.999890e+00	-1.218851e-06
1.822605440510446e-08	5.000097e+00	1.368826e-06
1.826511690510446e-08	4.999894e+00	-1.529625e-06
1.830417940510446e-08	5.000094e+00	1.673128e-06
1.834324190510446e-08	4.999897e+00	-1.827180e-06
