time	V(clk)	V(clkb)	V(ind)	V(outq)
1.657695028389350e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.661601278389350e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.665507528389350e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.669413778389350e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.673320028389350e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.677226278389350e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.681132528389350e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.685038778389350e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.688945028389350e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.692851278389350e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.696757528389350e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.700663778389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.704570028389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.708476278389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.712382528389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.716288778389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.720195028389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.724101278389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.728007528389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.731913778389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.735820028389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.739726278389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.743632528389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.747538778389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.751445028389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.755351278389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.759257528389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.763163778389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.767070028389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.770976278389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.774882528389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.778788778389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.782695028389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.786601278389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.790507528389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.794413778389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.798320028389349e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.800000000000000e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.800167997161065e-08	0.000000e+00	5.000000e+00	8.399858e-02	5.000000e+00
1.800503991483196e-08	0.000000e+00	5.000000e+00	2.519957e-01	5.000000e+00
1.801175980127456e-08	0.000000e+00	5.000000e+00	5.879900e-01	5.000000e+00
1.802519957415978e-08	0.000000e+00	5.000000e+00	1.259979e+00	5.000000e+00
1.804252052762805e-08	0.000000e+00	5.000000e+00	2.126026e+00	5.000000e+00
